,Gal,nsa_mstar,nsa_sersic_n,rat_vel_sigma,pa_w,pa_w_sigma,paph,paph_e,pakn,pakn_e,pamod,pamod_e,bar_pa,bar_pa_e,inc_w,inc_w_ep,inc_w_em,vc_flat,vc_flat_err,bar_dep,bar_dep_e,bar_med,bar_upp,bar_low,om_med,om_upp,om_low,cr_med,cr_upp,cr_low,R_med,R_upp,R_low
10,8612-12702,11.162580759774402,1.29957,0.4775658798660729,47.80141060003636,2.1425459206907567,49.67741481360966,3.061113806685888,46.0,0.3333333333333333,43.46,0.41,69.50251,2.549999999999997,47.51823500574465,51.46552984167654,43.30393132534434,287.7721634387958,0.7232959684851555,5.057850599999999,0.25289352000000065,7.630591726046027,8.113113933901008,7.188810450706398,20.569725999499585,26.416860471269423,13.826677584073751,12.648489182518048,18.114373589552685,8.715805971645624,1.6490864010193838,2.3872826455220832,1.1342809890297851
11,8625-12703,10.9911003452514,3.01843,0.3324973703018419,88.0006610009453,0.9999000149975004,91.64133145471224,0.2664944563557426,88.0,0.1666666666666666,90.97,0.18,129.23168,5.818700000000007,69.123066209293,69.52398465025094,68.72107490831624,266.77922333458883,3.731735026575398,4.98568356,0.5234981400000001,7.3946436037640355,8.136863685683245,6.674410563309428,27.636573824643506,33.964919948153025,19.30162046976653,7.6666017877545505,11.148116533461774,5.7680925647211385,1.0435296448667484,1.540593319854173,0.7691914266902755
12,8655-3701,11.0497031283673,3.3442199999999995,0.273620108624523,147.99928709548422,1.6998300254957508,149.04952903285815,9.527683236232432,148.0,0.8333333333333334,139.82,1.14,160.00644499999999,2.0011949999999956,36.0308596780726,42.77194033151742,27.9523080303058,140.82081084525726,3.1893235337382184,5.87799432,0.97280766,9.211650486194584,10.564693448904707,7.984983463862608,15.413810782322695,20.64540004601848,10.48452253504268,8.724717064452555,12.127648594673822,6.337024960471499,0.9529194916976476,1.3714754801997604,0.6650042488425908
13,8715-12701,10.9127840562675,4.91172,0.27070805856265,134.0014815016213,1.3331930968591916,141.34648779076912,3.1020734472201634,134.0,1.3333333333333333,140.74,0.62,166.509495,1.5878749999999968,40.19343413354164,41.313363194700365,39.04696946818938,257.6630240847836,4.231642710911385,10.27122228,1.69988544,5.747627221679096,6.591550065357685,4.97765147924952,25.689527122143307,29.515062603019672,20.27023574762584,7.815511279391072,11.23078405083476,5.922598796714166,1.3729407199426975,2.015702097515931,0.9982990839468874
14,8721-6103,11.16387875865,6.0,0.169588499023133,50.76718205977036,0.8003271629706531,52.8838049872076,8.835113712666377,51.0,1.1666666666666667,50.56,0.93,136.27814,3.017870000000002,32.728683064235675,38.17190263039415,26.321463593288023,352.8125172701477,3.4693841277390822,4.46433372,0.7388469,5.131476616937208,5.9753967788858615,4.384002515589326,40.59734163743821,53.71292013220489,31.305857370741634,8.493901026087574,10.75809509680784,6.257696385804295,1.6430895395419896,2.186125549262109,1.170509131659052
15,8938-12702,11.1162177752436,1.07246,0.371755947736111,53.354521159141285,1.4141782083598058,43.77770398458081,4.307568092839015,55.0,0.1666666666666666,51.71,0.54,32.143885,0.2582249999999995,43.915119588399136,45.32482217605962,42.46842653503781,303.3735513615677,2.5204793597194617,7.6337553599999985,0.3816885600000006,6.943510099889344,7.270764856901286,6.615583734959513,25.94555157303781,34.11532904585523,16.758291913119145,10.753966682202275,15.906406205207222,7.4642872424446995,1.5486814761425591,2.2904607613031613,1.071942399039303
16,8940-12702,11.002387601335,3.25205,0.318874706988458,140.23754317604565,0.9218073564838964,140.81236544393033,1.307361657080392,132.0,0.6666666666666666,139.67,0.37,112.17164,1.3236599999999967,44.7490264096444,45.7842217666667,43.694606704188,240.11407371453348,3.1616462102070453,8.941264199999999,2.0748222000000007,5.712706582365126,6.860264454526358,4.713508576009465,36.72956082889029,38.92551260285536,34.336628986462266,5.6524926746854725,6.052460367353492,5.278013119295314,0.9925594029704026,1.2041574423831811,0.8070942743703481
17,8948-12702,10.9994517245015,5.41181,0.119527226574824,1.0004038217379674,1.3330963594874516,11.41230491954256,4.815155897966255,1.0,1.3333333333333348,-7.14,4.65,49.70752,0.5845199999999977,19.801272166959567,20.922043087466623,18.61599408800407,246.530414716032,5.69026580178661,6.03267984,0.9984070799999998,3.3712174452379964,3.880697140268,2.9159831394893567,46.49994723244366,75.01955870386831,25.41453053489086,4.146823927875073,5.3524187389063895,3.6329408899558016,1.2687149033618206,1.6378053675752446,1.0057025087234366
18,8979-12701,11.2179030171951,3.5491,0.383424736688092,120.99569590476204,1.0606336562698542,134.9137911459303,0.6139029267583321,123.0,0.5,118.99,0.27,161.91595,4.404389999999992,50.56455511313538,51.22478450189092,49.89800809334655,286.4899137664388,1.2492283905043642,4.1711670000000005,0.96791904,9.330953405464918,11.217145885468474,7.7170902059998,24.669999215040608,27.42164851545143,22.164279718384847,10.416183138131316,11.686589580475149,9.141380825744774,1.1159991314552136,1.388312195499804,0.8842055934017844
19,8985-9102,10.9785860865041,1.60392,0.364739467961567,127.00926365000684,1.6998300254957506,122.6550273681602,1.6297631996668247,124.0,0.1666666666666666,127.01,0.43,45.39951,3.4406699999999972,57.53839224191586,59.1488976380997,55.898550721378186,294.99135411916774,7.613177057693865,3.23745642,0.3399329339999999,8.38255829884644,9.267220159181534,7.538974250305183,23.1168652602808,28.594321969988872,14.061357122266507,10.250436430504475,17.500201488974117,6.061464778572191,1.2322120747097127,2.1079098772288547,0.7171127128176605
20,8993-12701,11.1109748879798,1.43166,0.4325573915985949,137.96453177943613,0.9192158354338738,128.60012050239783,1.6026492649396742,139.0,0.5,136.93,0.67,70.59192999999999,1.3836399999999927,54.921617050547546,62.36488834854404,46.72080523608059,307.27111253432173,1.1351257303242066,8.34233004,0.8759460599999995,6.48858600771229,8.103978215665897,5.341851755765113,53.04578796233205,67.30317186953114,37.54096426991482,5.651409997601792,7.133831315636005,4.7191738018461935,0.8796685238579781,1.1946815805572208,0.6481482492367457
21,9025-3703,11.0572870790315,1.608,0.259864049052552,51.97865012182757,0.7070891041799029,24.981086673082423,2.867542740841228,53.0,1.0,50.96,0.63,163.12273,2.177720000000008,32.581651809129355,35.18147014181861,29.782350877385124,303.5214627269098,17.591953310252677,4.273441920000002,0.21367367999999942,5.5951775913982384,5.903457506131526,5.305488588015487,32.21407762589992,35.558845437078574,29.167644370826203,7.4714323238450655,8.031882370587082,6.7210220449140445,1.3287480329844472,1.4503020815076717,1.184440138476644
22,9029-12704,10.827668908385,1.98647,0.408397480489365,115.9988838923482,0.9999000149975004,110.12669126675068,0.9547302796727664,116.0,0.1666666666666666,110.71,0.54,85.024945,1.9574049999999943,51.18443626573879,53.67976522607477,48.59836987783899,227.63135654729217,0.7809171278705843,6.30888588,1.0441232999999999,5.149230215235509,5.935982030707077,4.431902952138642,27.72975802690379,30.97715115193417,24.123346476883288,7.975855020788956,9.082107466848528,6.844501222630786,1.542197725330884,1.8656549850354995,1.2499739008336928
23,9042-12703,10.8480210566573,3.80203,0.3556432051365039,146.97972660749946,1.0606336562698542,141.5118765960858,0.5787621010273737,147.0,0.5,146.96,0.98,105.49495,2.4010899999999964,40.059633739031575,48.85476862920653,29.216670837309287,334.56143887118526,12.759283549644652,8.603028720000001,0.43015301999999966,6.859159374673983,7.617208089742864,6.2697939800739855,36.867942517759104,46.82235005734343,31.104581832605344,9.086011081252389,11.030531389650577,7.392964668623803,1.3119704155982452,1.62145082743637,1.0435821009083377
