Gal,nsa_mstar,pa_w,pa_w_sigma,paph,paph_e,pakn,pakn_e,pamod,pamod_e,inc_w,inc_w_ep,inc_w_em,vc_flat,vc_flat_err,bar_med,bar_upp,bar_low,om_med,om_upp,om_low,cr_med,cr_upp,cr_low,R_med,R_upp,R_low
75,7495-12704,10.7681921398517,172.81975569051167,1.0606336562698542,167.9335659246646,0.0204264542476154,174.0,0.5,171.64,0.44,55.38617803332949,57.90647228791234,52.78686382132892,223.08447705242403,1.177771889151256,3.887628634740852,5.162447482925398,2.929286414192696,26.86357374172805,31.012730199927827,21.84301589873016,7.603069921644208,9.712469172389852,6.254298731659551,1.984348255662431,2.83708009303021,1.371819606480443
70,7958-6101,10.4698497591002,153.9110343940362,0.692820323027551,154.9831031821085,0.1248529321117634,152.0,0.8333333333333334,154.75,0.83,40.67526944501076,41.79946207234807,39.52479876953896,182.27644389768184,1.0888896781704798,2.5990158218189663,2.720792078004754,2.4786147666266896,47.93892956399343,61.025877389051146,31.428035206874824,3.5050644477233908,5.006266851505127,2.5924822758106867,1.3506630448517645,1.9222463421298608,0.9918011351236968
67,7958-3702,10.6778609919244,144.9091552673921,0.9559391521558468,143.94937485738282,3.258040886647728,145.0,0.6666666666666666,140.65,0.07,50.049199794781806,52.595540662501925,47.40424149407627,246.7657543486148,1.7253871273660455,2.8334232803770187,3.14185527551306,2.534713760184161,74.26517361251757,85.48936628717502,62.42069121367771,3.3203723285186952,3.927099965197705,2.8272041989822574,1.1741569140114416,1.43638654583073,0.9669570869456856
0,7977-9102,10.8223997468883,112.99282188361096,0.9999000149975004,131.20447987699018,5.641700151318633,123.0,0.3333333333333333,112.99,0.5,49.14599656415823,52.385433861564415,45.73955302840682,311.89636884430485,1.487131429308236,3.6621499386904217,4.413700044740322,3.0125867824974164,41.124203054578494,46.36564256117141,35.600411093551685,7.368644737688651,8.55389285605184,6.422397268707341,2.026643116818164,2.568682548526817,1.5866488040048137
37,7993-12704,11.2258279378267,127.60071178029196,1.458105599056731,129.41627152315843,2.130429434678122,126.0,1.0,134.12,4.74,30.734538904662607,33.73837964837318,27.43844065293198,252.6883294660274,5.546700428449933,11.183109884608143,12.904056194345191,9.629742423764531,24.10319447176146,30.958533776744293,17.92305131437732,10.550628772700328,14.060981152374508,8.132203456018251,0.9475232789411464,1.3026084141794103,0.6987383356937308
1,8078-12703,10.9199874492564,4.505215611997893,0.94864234017957,5.080276186559374,1.3875086105742174,4.0,0.3333333333333333,8.55,0.66,38.50507532591097,41.70362969667302,35.06408569630114,294.3244595183483,2.492215222277779,5.942205168408177,6.549355422344872,5.351358771204588,42.64896470938631,51.13348979396029,34.6185032106265,6.538654318847323,8.382825675415548,5.170211211755014,1.104251936875564,1.445850225402595,0.8506757855409443
73,8085-3704,10.6679723359839,104.00162955622496,2.999700044992501,106.99882136213752,0.0973321767405855,104.0,3.0,117.3,6.09,31.78594844909566,38.802745728189336,22.966101253867155,196.4208264598869,12.633758787986643,3.9698213732084016,4.752251468957669,3.2854203466327148,34.77630717798304,45.60795619647756,26.73606426679365,4.530650100512078,6.365306037962552,3.095273765826556,1.1390182555210124,1.680413862978985,0.7448942340733002
56,8088-3701,10.5266709401959,44.00143611449068,1.999800029995001,64.85401713575784,4.710201563066102,44.0,2.0,37.51,2.41,30.32277304708032,36.01280803982634,23.43608460974026,244.69760309385543,3.036273708915678,4.152471664409021,4.799855121552555,3.570437353554919,31.392657701660603,44.75613554841359,20.705517589252043,7.861180529793879,10.496212287122589,5.925587408518765,1.891669033786224,2.6215849653726138,1.379182457360891
38,8091-6101,11.1638976615911,85.79271772356236,0.5773502691896257,84.84815317068708,0.5836787122195228,87.0,0.6666666666666666,85.53,0.52,46.095616555524806,47.90371585992122,44.230826915946245,259.34909251097434,3.208200957918701,7.626853349560708,8.383474599845155,6.904887375961978,23.25989034509517,25.89647578783848,20.27404163351606,11.115057169709146,12.678815215547678,9.926651532442628,1.4642430026758688,1.7309073637174384,1.256925475062345
49,8091-12701,10.7669312225556,162.07875760231028,0.8485069250158834,137.2308038079088,18.91628365905877,162.0,1.1666666666666667,162.16,0.82,37.60442252566614,41.811304811201175,32.95051820062917,224.71225272094284,11.86703232472581,11.705095472470877,12.951301743011513,10.551745501416052,11.810999079600624,13.470581462231946,10.30517058606362,18.3884437494192,21.27216398831795,15.995820281450069,1.5751433740952656,1.8815136781194184,1.3191507008051997
